,fe,description
279,https://w3id.org/framester/framenet/abox/gfe/Inherent_purpose,The fundamental or intrinsic goal or reason behind the existence or function of an entity or action.
280,https://w3id.org/framester/framenet/abox/gfe/Initial_State,The starting condition or state of an entity or event before it undergoes any changes.
281,https://w3id.org/framester/framenet/abox/gfe/Initial_category,The first classification or category assigned to an entity or event at the outset.
282,https://w3id.org/framester/framenet/abox/gfe/Initial_correlate,The initial entity or condition that corresponds with another at the beginning of an event or process.
283,https://w3id.org/framester/framenet/abox/gfe/Initial_set,The original collection of entities or elements present at the beginning of an event or scenario.
284,https://w3id.org/framester/framenet/abox/gfe/Initial_size,The size or magnitude of an entity or event at the beginning of a process.
285,https://w3id.org/framester/framenet/abox/gfe/Initial_state,The condition of an entity or event before it undergoes any changes or transformations.
286,https://w3id.org/framester/framenet/abox/gfe/Initial_subevent,The first subevent or phase within a larger event or process.
287,https://w3id.org/framester/framenet/abox/gfe/Initial_value,The starting value or measurement of an attribute or condition at the beginning of a process.
288,https://w3id.org/framester/framenet/abox/gfe/Injured_party,someone injured or killed in an accident
289,https://w3id.org/framester/framenet/abox/gfe/Injury,any physical damage to the body caused by violence or accident or fracture etc.
290,https://w3id.org/framester/framenet/abox/gfe/Input,signal going into an electronic system
291,https://w3id.org/framester/framenet/abox/gfe/Instance,an occurrence of something
292,https://w3id.org/framester/framenet/abox/gfe/Instance_Prop,A specific property or characteristic associated with an instance of an entity or event.
293,https://w3id.org/framester/framenet/abox/gfe/Institution,an organization founded and united for a specific purpose
294,https://w3id.org/framester/framenet/abox/gfe/Instrument,a device that requires skill for proper use
295,https://w3id.org/framester/framenet/abox/gfe/Insulator,a material such as glass or porcelain with negligible electrical or thermal conductivity
296,https://w3id.org/framester/framenet/abox/gfe/Intended_event,An event that is planned or expected to happen as a result of certain actions or decisions.
297,https://w3id.org/framester/framenet/abox/gfe/Intended_goal,The specific objective or outcome that is sought or desired by an agent in an event or action.
298,https://w3id.org/framester/framenet/abox/gfe/Intended_perceiver,The individual or entity for whom a perception or experience is intended or directed.
299,https://w3id.org/framester/framenet/abox/gfe/Intended_purpose,The specific aim or function that an action or entity is meant to fulfill.
300,https://w3id.org/framester/framenet/abox/gfe/Intended_referent,"The entity or object that a statement, gesture, or communication is intended to refer to or represent."
301,https://w3id.org/framester/framenet/abox/gfe/Interest,a sense of concern with and curiosity about someone or something
302,https://w3id.org/framester/framenet/abox/gfe/Interested_party,"An entity or individual that has a vested interest or concern in a particular event, action, or decision."
303,https://w3id.org/framester/framenet/abox/gfe/Interior,the region that is inside of something
304,https://w3id.org/framester/framenet/abox/gfe/Interjection,an abrupt emphatic exclamation expressing emotion
305,https://w3id.org/framester/framenet/abox/gfe/Intermediary,a negotiator who acts as a link between parties
306,https://w3id.org/framester/framenet/abox/gfe/Internal_cause,A cause or factor originating within an entity that influences its behavior or condition.
307,https://w3id.org/framester/framenet/abox/gfe/Interval,a definite length of time marked off by two instants
308,https://w3id.org/framester/framenet/abox/gfe/Intoxicant,a liquor or brew containing alcohol as the active agent
309,https://w3id.org/framester/framenet/abox/gfe/Invader,someone who enters by force in order to conquer
310,https://w3id.org/framester/framenet/abox/gfe/Invasion_act,An action or event that involves the intrusion or unlawful entry into a space or territory.
311,https://w3id.org/framester/framenet/abox/gfe/Issue,an important question that is in dispute and must be settled
312,https://w3id.org/framester/framenet/abox/gfe/Item,a distinct part that can be specified separately in a group of things that could be enumerated on a list
313,https://w3id.org/framester/framenet/abox/gfe/Item_2,The second item in a set or pair of related items.
314,https://w3id.org/framester/framenet/abox/gfe/Item_Property,A characteristic or attribute associated with a specific item or object.
315,https://w3id.org/framester/framenet/abox/gfe/Items,a distinct part that can be specified separately in a group of things that could be enumerated on a list
316,https://w3id.org/framester/framenet/abox/gfe/Iteration,(computer science) a single execution of a set of instructions that are to be repeated
317,https://w3id.org/framester/framenet/abox/gfe/Iterations,(computer science) a single execution of a set of instructions that are to be repeated
318,https://w3id.org/framester/framenet/abox/gfe/Itinerary,an established line of travel or access
319,https://w3id.org/framester/framenet/abox/gfe/Journey,the act of traveling from one place to another
320,https://w3id.org/framester/framenet/abox/gfe/Judge,a public official authorized to decide questions brought before a court of justice
321,https://w3id.org/framester/framenet/abox/gfe/Judgment,an opinion formed by judging something
322,https://w3id.org/framester/framenet/abox/gfe/Jurisdiction,(law) the right and power to interpret and apply the law
323,https://w3id.org/framester/framenet/abox/gfe/Jury,a body of citizens sworn to give a true verdict according to the evidence presented in a court of law
324,https://w3id.org/framester/framenet/abox/gfe/Knot,a tight cluster of people or things
325,https://w3id.org/framester/framenet/abox/gfe/Landmark,the position of a prominent or well-known object in a particular landscape
326,https://w3id.org/framester/framenet/abox/gfe/Landmark_entity,An entity that serves as a point of reference or notable feature in a given context or location.
327,https://w3id.org/framester/framenet/abox/gfe/Language,a systematic means of communicating by the use of sounds or conventional symbols
328,https://w3id.org/framester/framenet/abox/gfe/Last_subevent,The final subevent or phase in a larger event or process.
329,https://w3id.org/framester/framenet/abox/gfe/Legal_basis,"The foundational legal principles or framework that support or justify an action, decision, or agreement."
330,https://w3id.org/framester/framenet/abox/gfe/Lender,someone who lends money or gives credit in business matters
331,https://w3id.org/framester/framenet/abox/gfe/Level,a position on a scale of intensity or amount or quality
332,https://w3id.org/framester/framenet/abox/gfe/Light,(physics) electromagnetic radiation that can produce a visual sensation
333,https://w3id.org/framester/framenet/abox/gfe/Limit1,The first boundary or constraint within a defined range or context.
334,https://w3id.org/framester/framenet/abox/gfe/Limit2,The second boundary or constraint within a defined range or context.
335,https://w3id.org/framester/framenet/abox/gfe/Loan,the temporary provision of money (usually at interest)
336,https://w3id.org/framester/framenet/abox/gfe/Loaner,someone who lends money or gives credit in business matters
337,https://w3id.org/framester/framenet/abox/gfe/Location,a point or extent in space
338,https://w3id.org/framester/framenet/abox/gfe/Location_of_Event,The specific place or area where an event occurs or takes place.
339,https://w3id.org/framester/framenet/abox/gfe/Location_of_appearance,The location where an entity or event is first noticed or revealed.
340,https://w3id.org/framester/framenet/abox/gfe/Location_of_communicator,The place or setting from which a communicator conveys a message or information.
341,https://w3id.org/framester/framenet/abox/gfe/Location_of_confinement,The physical space or area where an entity is confined or restricted.
342,https://w3id.org/framester/framenet/abox/gfe/Location_of_inspector,"The location from which an inspector observes, examines, or evaluates an entity or process."
343,https://w3id.org/framester/framenet/abox/gfe/Location_of_participant,The place or setting in which a participant is situated during an event or action.
344,https://w3id.org/framester/framenet/abox/gfe/Location_of_perceiver,The location from which a perceiver observes or experiences an event or phenomenon.
345,https://w3id.org/framester/framenet/abox/gfe/Location_of_protagonist,The location where the central character or participant in an event is situated or involved.
346,https://w3id.org/framester/framenet/abox/gfe/Location_of_representation,The place or medium in which a representation of an entity or event is presented or displayed.
347,https://w3id.org/framester/framenet/abox/gfe/Location_of_source,The location from which something originates or is sourced.
348,https://w3id.org/framester/framenet/abox/gfe/Location_of_tester,The location where a test or evaluation is conducted or performed.
349,https://w3id.org/framester/framenet/abox/gfe/Locus,the scene of any event or action (especially the place of a meeting)
350,https://w3id.org/framester/framenet/abox/gfe/Main_statement,The primary or central assertion made within a discourse or communication.
351,https://w3id.org/framester/framenet/abox/gfe/Manipulator,an agent that operates some apparatus or machine
352,https://w3id.org/framester/framenet/abox/gfe/Manner,how something is done or how it happens
353,https://w3id.org/framester/framenet/abox/gfe/Marker,some conspicuous object used to distinguish or mark something
354,https://w3id.org/framester/framenet/abox/gfe/Market,the world of commercial activity where goods and services are bought and sold
355,https://w3id.org/framester/framenet/abox/gfe/Market_type,"The classification or category of a market based on its characteristics or focus (e.g., consumer, wholesale)."
356,https://w3id.org/framester/framenet/abox/gfe/Material,the tangible substance that goes into the makeup of a physical object
357,https://w3id.org/framester/framenet/abox/gfe/Means,how a result is obtained or an end is achieved
358,https://w3id.org/framester/framenet/abox/gfe/Means_of_Gathering,"The method or tool used to collect data, information, or resources."
359,https://w3id.org/framester/framenet/abox/gfe/Means_of_propulsion,"The method or mechanism used to move or propel an entity, especially in transportation contexts."
360,https://w3id.org/framester/framenet/abox/gfe/Measurement,the act or process of assigning numbers to phenomena according to a rule
361,https://w3id.org/framester/framenet/abox/gfe/Medication,(medicine) something that treats or prevents or alleviates the symptoms of disease
362,https://w3id.org/framester/framenet/abox/gfe/Medium,a means or instrumentality for storing or communicating information
363,https://w3id.org/framester/framenet/abox/gfe/Member,one of the persons who compose a social group (especially individuals who have joined and participate in a group organization)
364,https://w3id.org/framester/framenet/abox/gfe/Member_1,The first entity in a membership or group.
365,https://w3id.org/framester/framenet/abox/gfe/Member_2,The second entity in a membership or group.
366,https://w3id.org/framester/framenet/abox/gfe/Message,a communication (usually brief) that is written or spoken or signaled
367,https://w3id.org/framester/framenet/abox/gfe/Method,"a way of doing something, especially a systematic way; implies an orderly logical arrangement (usually in steps)"
368,https://w3id.org/framester/framenet/abox/gfe/Miner,laborer who works in a mine
369,https://w3id.org/framester/framenet/abox/gfe/Mineral,solid homogeneous inorganic substances occurring in nature having a definite chemical composition
370,https://w3id.org/framester/framenet/abox/gfe/Mode_of_transfer,The method or process by which something is transferred or conveyed from one entity to another.
371,https://w3id.org/framester/framenet/abox/gfe/Mode_of_transportation,The method or means by which an entity or goods are transported from one location to another.
372,https://w3id.org/framester/framenet/abox/gfe/Money,the most common medium of exchange; functions as legal tender
373,https://w3id.org/framester/framenet/abox/gfe/Mother,a woman who has given birth to a child (also used as a term of address to your mother)
374,https://w3id.org/framester/framenet/abox/gfe/Motivation,the psychological feature that arouses an organism to action toward a desired goal; the reason for the action; that which gives purpose and direction to behavior
375,https://w3id.org/framester/framenet/abox/gfe/Multiplier,the number by which a multiplicand is multiplied
376,https://w3id.org/framester/framenet/abox/gfe/Name,a language unit by which a person or thing is known
377,https://w3id.org/framester/framenet/abox/gfe/Name_source,The origin or entity from which a name is derived or attributed.
378,https://w3id.org/framester/framenet/abox/gfe/Nationality,people having common origins or traditions and often comprising a nation
379,https://w3id.org/framester/framenet/abox/gfe/New_Status,"A newly assigned condition, role, or situation an entity occupies after a change or event."
380,https://w3id.org/framester/framenet/abox/gfe/New_punishment,The punishment or penalty that is newly assigned to an entity after a transgression.
381,https://w3id.org/framester/framenet/abox/gfe/New_tool,A tool or instrument that is introduced or newly acquired for use.
382,https://w3id.org/framester/framenet/abox/gfe/Next_subevent,The subsequent event or phase in a sequence of actions or occurrences.
383,https://w3id.org/framester/framenet/abox/gfe/Nodes,a connecting point at which several lines come together
384,https://w3id.org/framester/framenet/abox/gfe/Normal_location,The typical or expected place where an entity or event occurs.
385,https://w3id.org/framester/framenet/abox/gfe/Number,the property possessed by a sum or total or indefinite quantity of units or individuals
386,https://w3id.org/framester/framenet/abox/gfe/Number_of_possibilities,The total count of potential outcomes or choices available in a scenario.
387,https://w3id.org/framester/framenet/abox/gfe/Object,a tangible and visible entity; an entity that can cast a shadow
388,https://w3id.org/framester/framenet/abox/gfe/Obscuring_medium,A substance or entity that blocks or hinders visibility or perception.
389,https://w3id.org/framester/framenet/abox/gfe/Occasion,an event that occurs at a critical time
390,https://w3id.org/framester/framenet/abox/gfe/Occupant,someone who lives at a particular place for a prolonged period or who was born there
391,https://w3id.org/framester/framenet/abox/gfe/Odds,the likelihood of a thing occurring rather than not occurring
392,https://w3id.org/framester/framenet/abox/gfe/Old,past times (especially in the phrase `in days of old')
393,https://w3id.org/framester/framenet/abox/gfe/Old_leader,A previous individual or entity that held a leadership position.
394,https://w3id.org/framester/framenet/abox/gfe/Old_order,A previous system or arrangement of entities or events before a change occurred.
395,https://w3id.org/framester/framenet/abox/gfe/Old_tool,A tool or instrument that was previously used before being replaced or upgraded.
396,https://w3id.org/framester/framenet/abox/gfe/Option_1,The first choice or alternative available in a decision-making process.
397,https://w3id.org/framester/framenet/abox/gfe/Option_2,The second choice or alternative available in a decision-making process.
398,https://w3id.org/framester/framenet/abox/gfe/Ordinality,The characteristic of being arranged in a specific order or sequence.
399,https://w3id.org/framester/framenet/abox/gfe/Organization,a group of people who work together
400,https://w3id.org/framester/framenet/abox/gfe/Orientation,the act of orienting
401,https://w3id.org/framester/framenet/abox/gfe/Origin,"the place where something begins, where it springs into being"
402,https://w3id.org/framester/framenet/abox/gfe/Original,"an original creation (i.e., an audio recording) from which copies can be made"
403,https://w3id.org/framester/framenet/abox/gfe/Original_owner,The initial individual or entity that possessed or controlled something.
404,https://w3id.org/framester/framenet/abox/gfe/Original_punishment,The first punishment or penalty assigned for a transgression or wrongdoing.
405,https://w3id.org/framester/framenet/abox/gfe/Outcome,something that results
406,https://w3id.org/framester/framenet/abox/gfe/Owner,(law) someone who owns (is legal possessor of) a business
407,https://w3id.org/framester/framenet/abox/gfe/Paradigm,systematic arrangement of all the inflected forms of a word
408,https://w3id.org/framester/framenet/abox/gfe/Parameter,a constant in the equation of a curve that can be varied to yield a family of similar curves
409,https://w3id.org/framester/framenet/abox/gfe/Parents,a father or mother; one who begets or one who gives birth to or nurtures and raises a child; a relative who plays the role of guardian
410,https://w3id.org/framester/framenet/abox/gfe/Part,something determined in relation to something that includes it
411,https://w3id.org/framester/framenet/abox/gfe/Part_1,The first segment or component of a larger whole or event.
412,https://w3id.org/framester/framenet/abox/gfe/Part_2,The second segment or component of a larger whole or event.
413,https://w3id.org/framester/framenet/abox/gfe/Part_of_form,A component or element that contributes to the structure or shape of a larger entity.
414,https://w3id.org/framester/framenet/abox/gfe/Participant_1,The first individual or entity involved in an event or action.
415,https://w3id.org/framester/framenet/abox/gfe/Participant_2,The second individual or entity involved in an event or action.
416,https://w3id.org/framester/framenet/abox/gfe/Participants,someone who takes part in an activity
417,https://w3id.org/framester/framenet/abox/gfe/Particular_iteration,A specific occurrence or repetition of an event or process.
418,https://w3id.org/framester/framenet/abox/gfe/Parties,an organization to gain political power
419,https://w3id.org/framester/framenet/abox/gfe/Parts,the local environment
420,https://w3id.org/framester/framenet/abox/gfe/Party_1,"The first group or entity involved in a relationship, contract, or event."
421,https://w3id.org/framester/framenet/abox/gfe/Party_2,"The second group or entity involved in a relationship, contract, or event."
422,https://w3id.org/framester/framenet/abox/gfe/Path,a course of conduct
423,https://w3id.org/framester/framenet/abox/gfe/Path_shape,The specific form or outline of a route or trajectory taken by an entity.
424,https://w3id.org/framester/framenet/abox/gfe/Pattern,a perceptual structure
425,https://w3id.org/framester/framenet/abox/gfe/Perceiver,a person who becomes aware (of things or events) through the senses
426,https://w3id.org/framester/framenet/abox/gfe/Performance,a dramatic or musical entertainment
427,https://w3id.org/framester/framenet/abox/gfe/Performer,an entertainer who performs a dramatic or musical work for an audience
428,https://w3id.org/framester/framenet/abox/gfe/Performer1,The first entity responsible for carrying out or initiating an action or event.
429,https://w3id.org/framester/framenet/abox/gfe/Performer2,The second entity responsible for carrying out or initiating an action or event.
430,https://w3id.org/framester/framenet/abox/gfe/Period,an amount of time
431,https://w3id.org/framester/framenet/abox/gfe/Period_of_existence,The length of time during which an entity or state remains in existence.
432,https://w3id.org/framester/framenet/abox/gfe/Period_of_iteration,The span of time during which a process or event is repeated or iterated.
433,https://w3id.org/framester/framenet/abox/gfe/Period_of_iterations,The total time span encompassing multiple iterations or repetitions of an event or process.
434,https://w3id.org/framester/framenet/abox/gfe/Periodicity,the quality of recurring at regular intervals
435,https://w3id.org/framester/framenet/abox/gfe/Perpetrator,someone who perpetrates wrongdoing
436,https://w3id.org/framester/framenet/abox/gfe/Persistent_characteristic,A feature or trait that remains consistent or enduring over time.
437,https://w3id.org/framester/framenet/abox/gfe/Person,a human being
438,https://w3id.org/framester/framenet/abox/gfe/Personnel,group of people willing to obey orders
439,https://w3id.org/framester/framenet/abox/gfe/Phenomena,any state or process known through the senses rather than by intuition or reasoning
440,https://w3id.org/framester/framenet/abox/gfe/Phenomenon,any state or process known through the senses rather than by intuition or reasoning
441,https://w3id.org/framester/framenet/abox/gfe/Phenomenon_1,The first observable event or occurrence in a particular context.
442,https://w3id.org/framester/framenet/abox/gfe/Phenomenon_2,The second observable event or occurrence in a particular context.
443,https://w3id.org/framester/framenet/abox/gfe/Picture,a visual representation (of an object or scene or person or abstraction) produced on a surface
444,https://w3id.org/framester/framenet/abox/gfe/Piece_prop,A characteristic or property associated with a specific piece or segment of a larger whole.
445,https://w3id.org/framester/framenet/abox/gfe/Pieces,a separate part of a whole
446,https://w3id.org/framester/framenet/abox/gfe/Place,a point located with respect to surface features of some region
447,https://w3id.org/framester/framenet/abox/gfe/Place_holder,An entity or symbol used to temporarily represent another entity or concept.
448,https://w3id.org/framester/framenet/abox/gfe/Place_of_employment,The location where an individual or entity performs work or job-related activities.
449,https://w3id.org/framester/framenet/abox/gfe/Plan,a series of steps to be carried out or goals to be accomplished
450,https://w3id.org/framester/framenet/abox/gfe/Player,a person who participates in or is skilled at some game
451,https://w3id.org/framester/framenet/abox/gfe/Point_of_contact,The designated entity or location for communication or interaction in a process or event.
452,https://w3id.org/framester/framenet/abox/gfe/Point_of_view,a mental position from which things are viewed
453,https://w3id.org/framester/framenet/abox/gfe/Population,the people who inhabit a territory or state
454,https://w3id.org/framester/framenet/abox/gfe/Portal,a grand and imposing entrance (often extended metaphorically)
455,https://w3id.org/framester/framenet/abox/gfe/Position,the particular portion of space occupied by something
456,https://w3id.org/framester/framenet/abox/gfe/Position_qualifier,A descriptor that specifies the role or rank of an entity within a given position.
457,https://w3id.org/framester/framenet/abox/gfe/Possession,the act of having and controlling property
458,https://w3id.org/framester/framenet/abox/gfe/Possessor,a person who owns something
459,https://w3id.org/framester/framenet/abox/gfe/Possibilities,a future prospect or potential
460,https://w3id.org/framester/framenet/abox/gfe/Possible_event,An event that could occur based on certain conditions or possibilities.
461,https://w3id.org/framester/framenet/abox/gfe/Post_state,The condition or situation of an entity after a change or event has occurred.
462,https://w3id.org/framester/framenet/abox/gfe/Potential_observer,An entity that has the capacity or possibility to observe an event or situation.
463,https://w3id.org/framester/framenet/abox/gfe/Power_source,The origin or mechanism that provides energy or power for an entity or system.
464,https://w3id.org/framester/framenet/abox/gfe/Practice,a customary way of operation or behavior
465,https://w3id.org/framester/framenet/abox/gfe/Precept,rule of personal conduct
466,https://w3id.org/framester/framenet/abox/gfe/Precipitation,the quantity of water falling to earth at a specific place within a specified period of time
467,https://w3id.org/framester/framenet/abox/gfe/Precision,the quality of being reproducible in amount or performance
468,https://w3id.org/framester/framenet/abox/gfe/Predicate,(logic) what is predicated of the subject of a proposition; the second term in a proposition is predicated of the first term by means of the copula
469,https://w3id.org/framester/framenet/abox/gfe/Preparatory_phase,The initial stage in a process where actions are taken to set up or prepare for a later event.
470,https://w3id.org/framester/framenet/abox/gfe/Presentation,the activity of formally presenting something (as a prize or reward)
471,https://w3id.org/framester/framenet/abox/gfe/Preventing_cause,An entity or factor that stops or hinders an event or action from occurring.
472,https://w3id.org/framester/framenet/abox/gfe/Previous_context,The conditions or circumstances that existed before the current situation or event.
473,https://w3id.org/framester/framenet/abox/gfe/Previous_instance,The prior occurrence of an event or situation in a sequence.
474,https://w3id.org/framester/framenet/abox/gfe/Principle,a basic generalization that is accepted as true and that can be used as a basis for reasoning or conduct
475,https://w3id.org/framester/framenet/abox/gfe/Prior_state,The condition or situation of an entity before a particular change or event took place.
476,https://w3id.org/framester/framenet/abox/gfe/Prize,something given for victory or superiority in a contest or competition or for winning a lottery
477,https://w3id.org/framester/framenet/abox/gfe/Problem,a state of difficulty that needs to be resolved
478,https://w3id.org/framester/framenet/abox/gfe/Process,a particular course of action intended to achieve a result
479,https://w3id.org/framester/framenet/abox/gfe/Product,commodities offered for sale
480,https://w3id.org/framester/framenet/abox/gfe/Profiled_attribute,A specific characteristic or feature of an entity that is highlighted or examined in detail.
481,https://w3id.org/framester/framenet/abox/gfe/Profiled_region,A specific area or region that is focused on or analyzed in a given context.
482,https://w3id.org/framester/framenet/abox/gfe/Project,any piece of work that is undertaken or attempted
483,https://w3id.org/framester/framenet/abox/gfe/Projectile,a weapon that is forcibly thrown or projected at a targets but is not self-propelled
484,https://w3id.org/framester/framenet/abox/gfe/Property,something owned; any tangible or intangible possession that is owned by someone
485,https://w3id.org/framester/framenet/abox/gfe/Proposition,(logic) a statement that affirms or denies something and is either true or false
486,https://w3id.org/framester/framenet/abox/gfe/Proprietor,(law) someone who owns (is legal possessor of) a business
487,https://w3id.org/framester/framenet/abox/gfe/Prosecution,the institution and conduct of legal proceedings against a defendant for criminal behavior
488,https://w3id.org/framester/framenet/abox/gfe/Protagonist,a person who backs a politician or a team etc.
489,https://w3id.org/framester/framenet/abox/gfe/Protagonist_1,The first main character or central participant in an event or narrative.
490,https://w3id.org/framester/framenet/abox/gfe/Protagonist_2,The second main character or central participant in an event or narrative.
491,https://w3id.org/framester/framenet/abox/gfe/Protagonists,a person who backs a politician or a team etc.
492,https://w3id.org/framester/framenet/abox/gfe/Protection,the activity of protecting someone or something
493,https://w3id.org/framester/framenet/abox/gfe/Punishment,the act of punishing
494,https://w3id.org/framester/framenet/abox/gfe/Purpose,an anticipated outcome that is intended or that guides your planned actions
495,https://w3id.org/framester/framenet/abox/gfe/Purpose_of_Event,The intended goal or objective that an event seeks to accomplish.
496,https://w3id.org/framester/framenet/abox/gfe/Purpose_of_created_entity,The intended function or use for which an entity was created or designed.
497,https://w3id.org/framester/framenet/abox/gfe/Purpose_of_goods,The intended use or function of a particular item or product.
498,https://w3id.org/framester/framenet/abox/gfe/Purpose_of_theme,The central idea or objective that a particular theme aims to convey or achieve.
499,https://w3id.org/framester/framenet/abox/gfe/Q_Prop,A specific property or characteristic related to a particular question or inquiry.
500,https://w3id.org/framester/framenet/abox/gfe/Qualification,an attribute that must be met or complied with and that fits a person for something
501,https://w3id.org/framester/framenet/abox/gfe/Quantity,how much there is or how many there are of something that you can quantify
502,https://w3id.org/framester/framenet/abox/gfe/Question,an instance of questioning
503,https://w3id.org/framester/framenet/abox/gfe/Rank,a row or line of people (especially soldiers or police) standing abreast of one another
504,https://w3id.org/framester/framenet/abox/gfe/Rate,a magnitude or frequency relative to a time unit
505,https://w3id.org/framester/framenet/abox/gfe/Re-encoding,The process of transforming or altering information into a different format or representation.
506,https://w3id.org/framester/framenet/abox/gfe/Reason,a rational motive for a belief or action
507,https://w3id.org/framester/framenet/abox/gfe/Recipient,a person who receives something
508,https://w3id.org/framester/framenet/abox/gfe/Recipients,a person who receives something
509,https://w3id.org/framester/framenet/abox/gfe/Reciprocation,the act of making or doing something in return
510,https://w3id.org/framester/framenet/abox/gfe/Reference,a remark that calls attention to something or someone
511,https://w3id.org/framester/framenet/abox/gfe/Reference_occasion,The specific instance or occasion used as a reference point in a given context.
512,https://w3id.org/framester/framenet/abox/gfe/Reference_quantity,The amount or quantity used as a standard or reference in a comparison or evaluation.
513,https://w3id.org/framester/framenet/abox/gfe/Referent,something referred to; the object of a reference
514,https://w3id.org/framester/framenet/abox/gfe/Refreshment,snacks and drinks served as a light meal
515,https://w3id.org/framester/framenet/abox/gfe/Regulated_entity,"An entity subject to rules, laws, or guidelines governing its behavior or actions."
516,https://w3id.org/framester/framenet/abox/gfe/Related_event,An event that is connected or associated with another event in some way.
517,https://w3id.org/framester/framenet/abox/gfe/Relation,an abstraction belonging to or characteristic of two entities or parts together
518,https://w3id.org/framester/framenet/abox/gfe/Relation_type,The specific nature or category of connection between two entities or events.
519,https://w3id.org/framester/framenet/abox/gfe/Relative_location,The position of an entity in relation to another entity or reference point.
520,https://w3id.org/framester/framenet/abox/gfe/Relative_time,The measurement of time based on a reference event or state.
521,https://w3id.org/framester/framenet/abox/gfe/Relay,the act of passing something along from one person or group to another
522,https://w3id.org/framester/framenet/abox/gfe/Relevant_feature,A characteristic or aspect that is significant or important within a given context.
523,https://w3id.org/framester/framenet/abox/gfe/Remainder,something left after other parts have been taken away
524,https://w3id.org/framester/framenet/abox/gfe/Represented,take the place of or be parallel or equivalent to
525,https://w3id.org/framester/framenet/abox/gfe/Required,"require as useful, just, or proper"
526,https://w3id.org/framester/framenet/abox/gfe/Required_entity,An entity that is necessary or essential for a specific event or process to occur.
527,https://w3id.org/framester/framenet/abox/gfe/Required_individual,An individual who is needed or mandatory for a task or event.
528,https://w3id.org/framester/framenet/abox/gfe/Requirement,required activity
529,https://w3id.org/framester/framenet/abox/gfe/Resident,someone who lives at a particular place for a prolonged period or who was born there
530,https://w3id.org/framester/framenet/abox/gfe/Resistant_surface,"A surface that is capable of resisting external forces, damage, or wear."
531,https://w3id.org/framester/framenet/abox/gfe/Resource,available source of wealth; a new or reserve supply that can be drawn upon when needed
532,https://w3id.org/framester/framenet/abox/gfe/Responding_entity,"An entity that reacts or responds to an action, stimulus, or event."
533,https://w3id.org/framester/framenet/abox/gfe/Response,a result
534,https://w3id.org/framester/framenet/abox/gfe/Responsible_party,"The entity or individual accountable for an action, event, or decision."
535,https://w3id.org/framester/framenet/abox/gfe/Rest,something left after other parts have been taken away
536,https://w3id.org/framester/framenet/abox/gfe/Result,a phenomenon that follows and is caused by some previous phenomenon
537,https://w3id.org/framester/framenet/abox/gfe/Result_size,The magnitude or scale of the outcome or result of an event or process.
538,https://w3id.org/framester/framenet/abox/gfe/Resultant_Situation,The situation or condition that arises as a consequence of an event or action.
539,https://w3id.org/framester/framenet/abox/gfe/Resultant_action,The action or behavior that occurs as a result of a preceding event or action.
540,https://w3id.org/framester/framenet/abox/gfe/Resulting_action,An action that directly follows from a previous event or process.
541,https://w3id.org/framester/framenet/abox/gfe/Reversive,tending to be turned back
542,https://w3id.org/framester/framenet/abox/gfe/Road,an open way (generally public) for travel or transportation
543,https://w3id.org/framester/framenet/abox/gfe/Role,the actions and activities assigned to or required or expected of a person or group
544,https://w3id.org/framester/framenet/abox/gfe/Role_of_focal_participant,The specific function or responsibility held by the primary participant in an event.
545,https://w3id.org/framester/framenet/abox/gfe/Rope,a strong line
546,https://w3id.org/framester/framenet/abox/gfe/Salient_activity,An activity that is prominent or significant within a given context or event.
547,https://w3id.org/framester/framenet/abox/gfe/Salient_entity,An entity that stands out or is most noticeable within a specific situation.
548,https://w3id.org/framester/framenet/abox/gfe/Scene,the place where some action occurs
549,https://w3id.org/framester/framenet/abox/gfe/Score,a number or letter indicating quality (especially of a student's performance)
550,https://w3id.org/framester/framenet/abox/gfe/Script,a written version of a play or other dramatic composition; used in preparing for a performance
551,https://w3id.org/framester/framenet/abox/gfe/Seat,a space reserved for sitting (as in a theater or on a train or airplane)
552,https://w3id.org/framester/framenet/abox/gfe/Seat_of_emotion,The location or source of an emotion within an individual or entity.
553,https://w3id.org/framester/framenet/abox/gfe/Security,the state of being free from danger or injury
554,https://w3id.org/framester/framenet/abox/gfe/Seller,someone who promotes or exchanges goods or services for money
555,https://w3id.org/framester/framenet/abox/gfe/Sensory_attribute,"A characteristic related to the perception of an entity through the senses (e.g., sight, touch)."
556,https://w3id.org/framester/framenet/abox/gfe/Sentient_entity,An entity capable of experiencing sensations or emotions.
557,https://w3id.org/framester/framenet/abox/gfe/Set_of_instances,A collection of specific occurrences or examples of an entity or event.
558,https://w3id.org/framester/framenet/abox/gfe/Severity,used of the degree of something undesirable e.g. pain or weather
559,https://w3id.org/framester/framenet/abox/gfe/Shape_prop,A characteristic related to the form or configuration of an entity.
560,https://w3id.org/framester/framenet/abox/gfe/Side,a place within a region identified relative to a center or reference location
561,https://w3id.org/framester/framenet/abox/gfe/Side_1,The first side or aspect of an object or entity.
562,https://w3id.org/framester/framenet/abox/gfe/Side_2,The second side or aspect of an object or entity.
563,https://w3id.org/framester/framenet/abox/gfe/Sign_1,"The first indicator or symbol representing an idea, condition, or event."
564,https://w3id.org/framester/framenet/abox/gfe/Sign_2,"The second indicator or symbol representing an idea, condition, or event."
565,https://w3id.org/framester/framenet/abox/gfe/Simulated_entity,An entity that is artificially created or modeled to represent a real entity or phenomenon.
